City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,midvagur,62.0511,-7.1939,-3.54,74,66,1.03,FO,1707118468
1,walvis bay,-22.9575,14.5053,18.94,75,33,2.74,NA,1707118468
2,orsa,54.5153,30.4053,-1.4,93,100,4.46,BY,1707118469
3,hamilton,39.1834,-84.5333,3.21,71,0,7.2,US,1707118435
4,blackmans bay,-43.0167,147.3167,21.07,45,33,1.34,AU,1707118469
5,punta arenas,-53.15,-70.9167,9.06,76,20,7.2,CL,1707118469
6,longyearbyen,78.2186,15.6401,-2.09,74,75,8.75,SJ,1707118469
7,port-aux-francais,-49.35,70.2167,5.66,74,91,10.07,TF,1707118470
8,libourne,44.9167,-0.25,4.28,86,13,0.53,FR,1707118470
9,muramvya,-3.2682,29.6079,18.85,75,100,0.96,BI,1707118470
10,puerto natales,-51.7236,-72.4875,7.47,84,8,8.49,CL,1707118451
11,adamstown,-25.066,-130.1015,24.98,81,100,3.36,PN,1707118471
12,albany,42.6001,-73.9662,-3.13,77,7,1.74,US,1707118201
13,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,75,100,4.02,RU,1707118471
14,dori,14.0354,-0.0345,20.75,13,100,7.24,BF,1707118471
15,puerto ayora,-0.7393,-90.3518,23.08,100,95,0.89,EC,1707118471
16,kingston,17.997,-76.7936,26.53,91,40,4.12,JM,1707118181
17,waitangi,-43.9535,-176.5597,16.57,87,43,0.45,NZ,1707118472
18,port alfred,-33.5906,26.891,26.77,78,0,0.89,ZA,1707118472
19,quelimane,-17.8786,36.8883,29.97,74,40,1.54,MZ,1707118472
20,sharypovo,55.5403,89.2008,-4.86,85,100,4.02,RU,1707118472
21,ancud,-41.8697,-73.8203,15.22,95,100,7.03,CL,1707118319
22,badger,64.8,-147.5333,-16.83,74,100,0.0,US,1707118473
23,svetlyy,54.675,20.1347,6.31,82,99,13.13,RU,1707118473
24,pahrump,36.2083,-115.9839,12.13,56,99,8.94,US,1707118371
25,mermoz boabab,14.7065,-17.4758,21.31,56,2,5.76,SN,1707118474
26,la passe,45.5549,-0.8967,6.13,87,5,1.13,FR,1707118474
27,jamestown,42.097,-79.2353,-2.2,98,0,3.09,US,1707118265
28,ribeira grande,38.5167,-28.7,17.65,100,75,7.15,PT,1707118474
29,iskateley,67.6803,53.1512,-22.77,93,99,1.79,RU,1707118475
30,merced,37.1666,-120.7516,13.41,85,26,6.76,US,1707118475
31,chibougamau,49.9168,-74.3659,-17.21,92,100,1.03,CA,1707118342
32,thinadhoo,0.5333,72.9333,28.41,76,28,6.03,MV,1707118475
33,thompson,55.7435,-97.8558,-6.91,93,100,1.03,CA,1707118476
34,banda aceh,5.5577,95.3222,29.83,67,81,7.07,ID,1707118476
35,waingapu,-9.6567,120.2641,27.84,77,100,4.14,ID,1707118476
